versao;linhas;colunas;tarefas;repeticoes;tempo_medio_ms;speedup;resultado;resultado_correto
V1 - Sequencial;500;500;-;10;6185,872;1,000;1264682,8309984687;sim
V2 - Paralelismo nao estruturado;500;500;5;10;2021,817;3,060;1264682,8309987728;sim
V2 - Paralelismo nao estruturado;500;500;10;10;1990,200;3,108;1264682,8309986220;sim
V2 - Paralelismo nao estruturado;500;500;100;10;1990,722;3,107;1264682,8309986508;sim
V3 - Paralelismo estruturado;500;500;5;10;1995,690;3,100;1264682,8309987728;sim
V3 - Paralelismo estruturado;500;500;10;10;1990,589;3,108;1264682,8309986220;sim
V3 - Paralelismo estruturado;500;500;100;10;1970,682;3,139;1264682,8309986508;sim
V4a - Estruturado + variavel atomica;500;500;5;10;2034,294;3,041;1264682,8309987728;sim
V4a - Estruturado + variavel atomica;500;500;10;10;1995,459;3,100;1264682,8309986220;sim
V4a - Estruturado + variavel atomica;500;500;100;10;1968,378;3,143;1264682,8309986508;sim
V4b - Estruturado + colecao concorrente;500;500;5;10;1998,302;3,096;1264682,8309987728;sim
V4b - Estruturado + colecao concorrente;500;500;10;10;2048,422;3,020;1264682,8309986223;sim
V4b - Estruturado + colecao concorrente;500;500;100;10;2001,835;3,090;1264682,8309986508;sim
V1 - Sequencial;1000;1000;-;10;29936,796;1,000;5058731,3239946430;sim
V2 - Paralelismo nao estruturado;1000;1000;5;10;7990,126;3,747;5058731,3239945850;sim
V2 - Paralelismo nao estruturado;1000;1000;10;10;7932,846;3,774;5058731,3239951350;sim
V2 - Paralelismo nao estruturado;1000;1000;100;10;8083,013;3,704;5058731,3239946095;sim
V3 - Paralelismo estruturado;1000;1000;5;10;8023,660;3,731;5058731,3239945850;sim
V3 - Paralelismo estruturado;1000;1000;10;10;8202,255;3,650;5058731,3239951350;sim
V3 - Paralelismo estruturado;1000;1000;100;10;7852,245;3,813;5058731,3239946095;sim
V4a - Estruturado + variavel atomica;1000;1000;5;10;7933,081;3,774;5058731,3239945850;sim
V4a - Estruturado + variavel atomica;1000;1000;10;10;8027,785;3,729;5058731,3239951350;sim
V4a - Estruturado + variavel atomica;1000;1000;100;10;7952,954;3,764;5058731,3239946095;sim
V4b - Estruturado + colecao concorrente;1000;1000;5;10;8286,330;3,613;5058731,3239945850;sim
V4b - Estruturado + colecao concorrente;1000;1000;10;10;8135,522;3,680;5058731,3239951350;sim
V4b - Estruturado + colecao concorrente;1000;1000;100;10;8247,001;3,630;5058731,3239946090;sim
V1 - Sequencial;1500;1500;-;10;72115,367;1,000;11382145,4789911860;sim
V2 - Paralelismo nao estruturado;1500;1500;5;10;17947,239;4,018;11382145,4789840880;sim
V2 - Paralelismo nao estruturado;1500;1500;10;10;17620,984;4,093;11382145,4789870600;sim
V2 - Paralelismo nao estruturado;1500;1500;100;10;18030,976;4,000;11382145,4789876640;sim
V3 - Paralelismo estruturado;1500;1500;5;10;17663,082;4,083;11382145,4789840880;sim
V3 - Paralelismo estruturado;1500;1500;10;10;17949,773;4,018;11382145,4789870600;sim
V3 - Paralelismo estruturado;1500;1500;100;10;17836,254;4,043;11382145,4789876640;sim
V4a - Estruturado + variavel atomica;1500;1500;5;10;14355,969;5,023;11382145,4789840880;sim
V4a - Estruturado + variavel atomica;1500;1500;10;10;5352,852;13,472;11382145,4789870570;sim
V4a - Estruturado + variavel atomica;1500;1500;100;10;4392,005;16,420;11382145,4789876640;sim
V4b - Estruturado + colecao concorrente;1500;1500;5;10;7140,489;10,100;11382145,4789840880;sim
V4b - Estruturado + colecao concorrente;1500;1500;10;10;5299,059;13,609;11382145,4789870570;sim
V4b - Estruturado + colecao concorrente;1500;1500;100;10;4413,884;16,338;11382145,4789876640;sim
V1 - Sequencial;2000;2000;-;10;51875,078;1,000;20234925,2960713400;sim
V2 - Paralelismo nao estruturado;2000;2000;5;10;12112,194;4,283;20234925,2959797000;sim
V2 - Paralelismo nao estruturado;2000;2000;10;10;9486,073;5,469;20234925,2959704440;sim
V2 - Paralelismo nao estruturado;2000;2000;100;10;7823,873;6,630;20234925,2959796860;sim
V3 - Paralelismo estruturado;2000;2000;5;10;12729,374;4,075;20234925,2959797000;sim
V3 - Paralelismo estruturado;2000;2000;10;10;9350,300;5,548;20234925,2959704440;sim
V3 - Paralelismo estruturado;2000;2000;100;10;7790,466;6,659;20234925,2959796860;sim
V4a - Estruturado + variavel atomica;2000;2000;5;10;12231,061;4,241;20234925,2959797000;sim
V4a - Estruturado + variavel atomica;2000;2000;10;10;12789,731;4,056;20234925,2959704440;sim
V4a - Estruturado + variavel atomica;2000;2000;100;10;31388,191;1,653;20234925,2959796860;sim
V4b - Estruturado + colecao concorrente;2000;2000;5;10;31857,144;1,628;20234925,2959797000;sim
V4b - Estruturado + colecao concorrente;2000;2000;10;10;31739,679;1,634;20234925,2959704440;sim
V4b - Estruturado + colecao concorrente;2000;2000;100;10;29240,937;1,774;20234925,2959796860;sim
